source_record_id,survey_number,land_use,owner_reference,record_year
REV-001,125/1,Residential,OWNER-1000,2024
REV-002,125/2,Residential,OWNER-1001,2024
REV-003,125/3,Commercial,OWNER-1002,2024
REV-004,125/4,Mixed use,OWNER-1003,2024
REV-005,125/5,Institutional,OWNER-1004,2024
REV-006,125/6,Residential,OWNER-1005,2024
REV-007,125/7,Residential,OWNER-1006,2024
REV-008,125/8,Commercial,OWNER-1007,2024
REV-009,125/9,Mixed use,OWNER-1008,2024
REV-010,125/10,Institutional,OWNER-1009,2024
REV-011,125/11,Residential,OWNER-1010,2024
REV-012,125/12,Residential,OWNER-1011,2024
REV-013,126/1,Commercial,OWNER-1012,2024
REV-014,126/2,Mixed use,OWNER-1013,2024
REV-015,126/3,Institutional,OWNER-1014,2024
REV-016,126/4,Residential,OWNER-1015,2024
REV-017,126/5,Residential,OWNER-1016,2024
REV-018,126/6,Commercial,OWNER-1017,2024
REV-019,126/7,Mixed use,OWNER-1018,2024
REV-020,126/8,Institutional,OWNER-1019,2024
REV-021,126/9,Residential,OWNER-1020,2024
REV-022,126/10,Residential,OWNER-1021,2024
REV-023,126/11,Commercial,OWNER-1022,2024
REV-024,126/12,Mixed use,OWNER-1023,2024
REV-025,127/1,Institutional,OWNER-1024,2024
REV-026,127/2,Residential,OWNER-1025,2024
REV-027,127/3,Residential,OWNER-1026,2024
REV-028,127/4,Commercial,OWNER-1027,2024
REV-029,127/5,Mixed use,OWNER-1028,2024
REV-030,127/6,Institutional,OWNER-1029,2024
REV-031,127/7,Residential,OWNER-1030,2024
REV-032,127/8,Residential,OWNER-1031,2024
REV-033,127/9,Commercial,OWNER-1032,2024
REV-034,127/10,Mixed use,OWNER-1033,2024
REV-035,127/11,Institutional,OWNER-1034,2024
REV-036,127/12,Residential,OWNER-1035,2024
REV-037,128/1,Residential,OWNER-1036,2024
REV-038,128/2,Commercial,OWNER-1037,2024
REV-039,128/3,Mixed use,OWNER-1038,2024
REV-040,128/4,Institutional,OWNER-1039,2024
REV-041,128/5,Residential,OWNER-1040,2024
REV-042,128/6,Residential,OWNER-1041,2024
REV-043,128/7,Commercial,OWNER-1042,2024
REV-044,128/8,Mixed use,OWNER-1043,2024
REV-045,128/9,Institutional,OWNER-1044,2024
REV-046,128/10,Residential,OWNER-1045,2024
REV-047,128/11,Residential,OWNER-1046,2024
REV-048,128/12,Commercial,OWNER-1047,2024
REV-049,129/1,Mixed use,OWNER-1048,2024
REV-050,129/2,Institutional,OWNER-1049,2024
REV-051,129/3,Residential,OWNER-1050,2024
REV-052,129/4,Residential,OWNER-1051,2024
REV-053,129/5,Commercial,OWNER-1052,2024
REV-054,129/6,Mixed use,OWNER-1053,2024
REV-055,129/7,Institutional,OWNER-1054,2024
REV-056,129/8,Residential,OWNER-1055,2024
REV-057,129/9,Residential,OWNER-1056,2024
REV-058,129/10,Commercial,OWNER-1057,2024
REV-059,129/11,Mixed use,OWNER-1058,2024
REV-060,129/12,Institutional,OWNER-1059,2024
REV-061,130/1,Residential,OWNER-1060,2024
REV-062,130/2,Residential,OWNER-1061,2024
REV-063,130/3,Commercial,OWNER-1062,2024
REV-064,130/4,Mixed use,OWNER-1063,2024
REV-065,130/5,Institutional,OWNER-1064,2024
REV-066,130/6,Residential,OWNER-1065,2024
REV-067,130/7,Residential,OWNER-1066,2024
REV-068,130/8,Commercial,OWNER-1067,2024
REV-069,130/9,Mixed use,OWNER-1068,2024
REV-070,130/10,Institutional,OWNER-1069,2024
REV-071,130/11,Residential,OWNER-1070,2024
REV-072,130/12,Residential,OWNER-1071,2024
